name,time,gw1
s31lb,1746092045775223310,eui-00007076ff031372
s31lb,1746093245530340979,eui-00007076ff031372
s31lb,1746094445332364568,eui-00007076ff031372
s31lb,1746095645124265983,eui-00007076ff031358
s31lb,1746096844927915528,eui-00007076ff031372
s31lb,1746180830260799792,eui-7076ff0056070bb4
s31lb,1746182030066186150,eui-00007076ff031372
s31lb,1746183229838649155,eui-7076ff0056070bb4
s31lb,1746184429628241009,eui-00007076ff031372
s31lb,1746185629408259084,eui-00007076ff031372
s31lb,1746186829204082232,eui-00007076ff032b3f
s31lb,1746188029006669310,eui-7076ff0056070bb4
s31lb,1746189228794783146,eui-00007076ff031372
s31lb,1746190428582465768,eui-00007076ff031372
s31lb,1746191628363071585,eui-00007076ff031372
s31lb,1746192828161360419,eui-00007076ff031372
s31lb,1746194027938436820,eui-00007076ff031372
s31lb,1746195227741074060,eui-7076ff0056070bb4
s31lb,1746196427542787709,eui-00007076ff031372
s31lb,1746197627326644315,eui-00007076ff031372
s31lb,1746198827132950854,eui-00007076ff031372
s31lb,1746200026900305575,eui-7076ff0056070bb4
s31lb,1746201226690506874,eui-00007076ff031372
s31lb,1746202426490120483,eui-7076ff0056070bb4
s31lb,1746203626284215493,eui-7076ff0056070bb4
s31lb,1746204826067521299,eui-00007076ff031372
s31lb,1746206025874177432,eui-00007076ff031372
s31lb,1746207225647209589,eui-00007076ff031372
s31lb,1746208425437229483,eui-00007076ff031358
s31lb,1746209625241641116,eui-7076ff0056070bb4
s31lb,1746210825038726591,eui-7076ff0056070bb4
s31lb,1746212024840002885,eui-00007076ff031358
s31lb,1746213224619490373,eui-00007076ff031372
s31lb,1746214424418563399,eui-00007076ff031372
s31lb,1746215624209406658,eui-00007076ff031372
s31lb,1746216823998211065,eui-00007076ff032b3f
s31lb,1746218023802458425,eui-00007076ff031372
s31lb,1746219223604661639,eui-00007076ff031358
s31lb,1746220423407714363,eui-00007076ff031372
s31lb,1746221623204003961,eui-7076ff0056070bb4
s31lb,1746222823008001313,eui-00007076ff032b3f
s31lb,1746224022799058696,eui-7076ff0056070bb4
s31lb,1746225222592047955,eui-00007076ff031372
s31lb,1746226422408386859,eui-00007076ff031372
s31lb,1746227622177698349,eui-00007076ff031358
s31lb,1746228821996868583,eui-7076ff0056070bb4
s31lb,1746230021790996979,eui-00007076ff031372
s31lb,1746231221580972633,eui-00007076ff031372
s31lb,1746232421397200128,eui-00007076ff031372
s31lb,1746233621202293225,eui-00007076ff031372
s31lb,1746234820981898258,eui-00007076ff031372
s31lb,1746236020792870897,eui-00007076ff031372
s31lb,1746237220594085760,eui-00007076ff031358
