name,time,BatV,Door_status,EXTI_Trigger,Hum_SHT31,TempC_SHT31,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rssi2,rx_time1,sf,snr1,snr2
s31lb,1746092045775223310,3.612,OPEN,FALSE,63.3,19.4,0,,125000,5,1779,0,eui-00007076ff031372,,0,,0,,-102,,2025-05-01T09:34:05.445Z,7,9.2,
s31lb,1746093245530340979,3.612,OPEN,FALSE,59.5,20,0,,125000,1,1780,0,eui-00007076ff031372,,0,,0,,-104,,2025-05-01T09:54:05.234Z,7,9.5,
s31lb,1746094445332364568,3.612,OPEN,FALSE,54.4,20.3,0,,125000,3,1781,0,eui-00007076ff031372,,0,,0,,-104,,2025-05-01T10:14:05.023Z,7,9,
s31lb,1746095645124265983,3.612,OPEN,FALSE,54.4,20.7,0,,125000,0,1782,0,eui-00007076ff031358,,0,,0,,-122,,2025-05-01T10:34:04.811Z,7,-6.5,
s31lb,1746096844927915528,3.612,OPEN,FALSE,52,21.1,0,,125000,1,1783,0,eui-00007076ff031372,,0,,0,,-104,,2025-05-01T10:54:04.601Z,7,8.5,
s31lb,1746098044683389114,3.612,OPEN,FALSE,53.4,21.3,0,0,125000,6,1784,0,,eui-00007076ff031372,0,0,0,0,-116,-100,2025-05-01T11:14:04.390Z,7,-7.8,8.8
s31lb,1746099244477009203,3.612,OPEN,FALSE,49,21.8,0,0,125000,7,1785,0,,eui-00007076ff031372,0,0,0,0,-118,-100,2025-05-01T11:34:04.178Z,7,-4.5,7.8
s31lb,1746100444268890515,3.612,OPEN,FALSE,49.3,22,0,0,125000,0,1786,0,,unknown,0,0,0,0,-101,0,,7,8.8,0
s31lb,1746101644049650913,3.612,OPEN,FALSE,48.2,22.5,0,0,125000,0,1787,0,,unknown,0,0,0,0,-102,0,,7,9.5,0
s31lb,1746102843831953730,3.618,OPEN,FALSE,49.9,22.7,0,0,125000,2,1788,0,,eui-00007076ff031372,0,0,0,0,-120,-104,2025-05-01T12:34:03.545Z,7,-7.5,6.8
s31lb,1746104043621630773,3.618,OPEN,FALSE,45.9,22.8,0,0,125000,2,1789,0,,eui-00007076ff031372,0,0,0,0,-119,-100,2025-05-01T12:54:03.335Z,7,-5.5,7
s31lb,1746105243421406346,3.612,OPEN,FALSE,46.6,22.6,0,0,125000,7,1790,0,,eui-7076ff0056070bb4,0,0,0,0,-99,-115,2025-05-01T13:14:03.125Z,7,7.8,0
s31lb,1746106443207841900,3.612,OPEN,FALSE,45.6,22.7,0,0,125000,0,1791,0,,eui-00007076ff031358,0,0,0,0,-106,-120,2025-05-01T13:34:02.914Z,7,8.5,-7
s31lb,1746107643007993872,3.612,OPEN,FALSE,45.2,22.6,0,0,125000,0,1792,0,,unknown,0,0,0,0,-102,0,,7,9,0
s31lb,1746108842791198185,3.612,OPEN,FALSE,45.1,22.6,0,0,125000,0,1793,0,,unknown,0,0,0,0,-100,0,,7,8.8,0
s31lb,1746110042583413837,3.612,OPEN,FALSE,43,22.9,0,0,125000,3,1794,0,,eui-00007076ff031372,0,0,0,0,-120,-102,2025-05-01T14:34:02.279Z,7,-5.8,11
s31lb,1746111242401226833,3.612,OPEN,FALSE,43.7,22.7,0,0,125000,0,1795,0,,unknown,0,0,0,0,-101,0,,7,9.2,0
s31lb,1746112442153906113,3.612,OPEN,FALSE,44.3,22.6,0,0,125000,1,1796,0,,eui-7076ff0056070bb4,0,0,0,0,-106,-118,2025-05-01T15:14:01.857Z,7,9.5,-4.8
s31lb,1746113641939984199,3.612,OPEN,FALSE,43.1,23.1,0,0,125000,3,1797,0,,eui-00007076ff031372,0,0,0,0,-118,-101,2025-05-01T15:34:01.645Z,7,-1,9.5
s31lb,1746114841731238383,3.612,OPEN,FALSE,46,23.3,0,0,125000,0,1798,0,,eui-00007076ff031358,0,0,0,0,-104,-122,2025-05-01T15:54:01.434Z,7,9,-7.2
s31lb,1746116041523654790,3.618,OPEN,FALSE,47.3,22.7,0,0,125000,0,1799,0,,eui-7076ff0056070bb4,0,0,0,0,-104,-119,2025-05-01T16:14:01.223Z,7,8.5,-3.5
s31lb,1746117241299675017,3.612,OPEN,FALSE,52.4,21.5,0,0,125000,5,1800,0,,eui-00007076ff031372,0,0,0,0,-122,-101,2025-05-01T16:34:01.013Z,7,-8.5,8.8
s31lb,1746118441103435459,3.612,OPEN,FALSE,52.2,21,0,0,125000,0,1801,0,,unknown,0,0,0,0,-102,0,,7,7.8,0
s31lb,1746119640893319417,3.612,OPEN,FALSE,53.8,20.4,0,0,125000,0,1802,0,,unknown,0,0,0,0,-104,0,,7,9.5,0
s31lb,1746120840678087285,3.612,OPEN,FALSE,59.8,19.6,0,0,125000,5,1803,0,,eui-00007076ff031372,0,0,0,0,-122,-100,2025-05-01T17:34:00.380Z,7,-6.5,9.5
s31lb,1746122040457887979,3.612,OPEN,FALSE,62.5,18.8,0,0,125000,2,1804,0,,eui-00007076ff031372,0,0,0,0,-116,-101,2025-05-01T17:54:00.169Z,7,-1.8,7.2
