#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,_result,,,,,
,result,table,_time,_value,_field,_measurement
,,0,2025-09-09T14:40:10.252Z,3.636,BatV,waldsensor_breklum
,,1,2025-09-09T14:48:58.453Z,3.588,BatV,waldsensor_fahrdorf
,,2,2025-09-09T14:37:54.97Z,3.654,BatV,waldsensor_hooge
,,3,2025-09-09T14:44:26.867Z,3.636,BatV,waldsensor_kropp
,,4,2025-09-09T14:39:39.07Z,3.416,BatV,waldsensor_lsn50
,,5,2025-09-09T14:50:39.949Z,3.648,BatV,waldsensor_neumuenstertl
,,6,2025-09-09T14:41:24.421Z,3.618,BatV,waldsensor_s31
,,7,2025-09-09T14:46:48.848Z,3.326,BatV,waldsensor_se01
,,8,2025-09-09T14:40:10.252Z,55.3,Hum_SHT,waldsensor_breklum
,,9,2025-09-09T14:48:58.453Z,67.2,Hum_SHT,waldsensor_fahrdorf
,,10,2025-09-09T14:44:26.867Z,72.1,Hum_SHT,waldsensor_kropp
,,11,2025-09-09T14:50:39.949Z,55.7,Hum_SHT,waldsensor_neumuenstertl
,,12,2025-09-09T14:39:39.07Z,72.2,Hum_SHT31,waldsensor_lsn50
,,13,2025-09-09T14:41:24.421Z,73.2,Hum_SHT31,waldsensor_s31
,,14,2025-09-09T14:40:10.252Z,24.5,TempC_SHT,waldsensor_breklum
,,15,2025-09-09T14:48:58.453Z,21.1,TempC_SHT,waldsensor_fahrdorf
,,16,2025-09-09T14:44:26.867Z,20.9,TempC_SHT,waldsensor_kropp
,,17,2025-09-09T14:50:39.949Z,24.6,TempC_SHT,waldsensor_neumuenstertl
,,18,2025-09-09T14:39:39.07Z,20.7,TempC_SHT31,waldsensor_lsn50
,,19,2025-09-09T14:41:24.421Z,20.4,TempC_SHT31,waldsensor_s31
,,20,2025-09-09T14:37:54.97Z,54.5582,lat,waldsensor_hooge
,,21,2025-09-09T14:37:54.97Z,8.5464,lon,waldsensor_hooge
,,22,2025-09-09T14:46:48.848Z,14.88,temp_SOIL,waldsensor_se01
,,23,2025-09-09T14:46:48.848Z,6.92,water_SOIL,waldsensor_se01

