name,time,temperature,humidity,battery
sn50v3_kropp,2025-11-02 13:09:09.87755811,24.2,51.4,3.642
sn50v3_kropp,2025-11-02 13:12:06.854116217,24.2,51.5,3.642
sn50v3_kropp,2025-11-02 13:13:21.496853046,24.2,51.5,3.642
sn50v3_kropp,2025-11-02 13:15:09.064069993,24.2,51.5,3.642
sn50v3_kropp,2025-11-02 13:19:39.414993314,24,52.7,3.636
sn50v3_kropp,2025-11-02 13:20:04.575855378,24,52.8,3.642
sn50v3_kropp,2025-11-02 13:40:02.899148862,25.4,49.1,3.636
sn50v3_kropp,2025-11-02 13:58:41.868767334,24.9,52.3,3.636
sn50v3_kropp,2025-11-02 14:18:40.198919604,24.6,51.1,3.636
sn50v3_kropp,2025-11-02 14:38:39.981582393,24.3,51.5,3.636
sn50v3_kropp,2025-11-02 14:58:39.748406252,24.2,51.8,3.636
sn50v3_kropp,2025-11-02 15:18:39.530767118,24.1,52,3.636
sn50v3_kropp,2025-11-02 15:38:39.30574462,24.1,52.2,3.636
sn50v3_kropp,2025-11-02 15:58:39.112032344,24.2,52.2,3.636
sn50v3_kropp,2025-11-02 16:18:38.852907396,24.2,52.3,3.636
sn50v3_kropp,2025-11-02 16:38:38.625851558,24.2,52.6,3.636
sn50v3_kropp,2025-11-02 16:58:38.411930322,24.2,52.6,3.636
sn50v3_kropp,2025-11-02 17:18:38.187841242,24.3,52.6,3.636
sn50v3_kropp,2025-11-02 17:38:37.961471911,24.3,52.7,3.636
sn50v3_kropp,2025-11-02 17:58:37.740124224,24.4,52.6,3.636
sn50v3_kropp,2025-11-02 18:18:37.523988065,24.4,52.6,3.636
sn50v3_kropp,2025-11-02 18:38:37.286272345,24.5,52.6,3.636
sn50v3_kropp,2025-11-02 18:58:37.063353888,24.5,52.6,3.642
sn50v3_kropp,2025-11-02 19:18:36.845247788,24.5,52.6,3.636
sn50v3_kropp,2025-11-02 19:38:36.615207206,24.5,52.6,3.636
sn50v3_kropp,2025-11-02 19:58:36.392656002,24.6,52.6,3.636
sn50v3_kropp,2025-11-02 20:18:36.174518085,24.6,52.4,3.636
sn50v3_kropp,2025-11-02 20:38:35.961412538,24.6,52.4,3.636
sn50v3_kropp,2025-11-02 20:58:35.724463282,24.7,52.3,3.636
sn50v3_kropp,2025-11-02 21:18:35.505527602,24.7,52.2,3.636
sn50v3_kropp,2025-11-02 21:38:35.286522408,24.8,52.2,3.636
sn50v3_kropp,2025-11-02 21:58:35.070181273,24.8,52.2,3.642
sn50v3_kropp,2025-11-02 22:18:34.827476893,24.8,52.1,3.636
sn50v3_kropp,2025-11-02 22:38:34.61205914,24.8,52,3.636
sn50v3_kropp,2025-11-02 22:58:34.384311626,24.9,52,3.636
sn50v3_kropp,2025-11-02 23:18:34.167829434,24.9,51.9,3.636
sn50v3_kropp,2025-11-02 23:38:33.939563049,24.9,51.9,3.636
sn50v3_kropp,2025-11-02 23:58:33.716628549,24.9,51.9,3.636
sn50v3_kropp,2025-11-03 00:18:33.493360294,24.9,52,3.636
sn50v3_kropp,2025-11-03 00:38:33.269423834,25,52.2,3.636
sn50v3_kropp,2025-11-03 00:58:33.048599313,24.9,52.3,3.636
sn50v3_kropp,2025-11-03 01:18:32.845449064,24.9,52.3,3.636
sn50v3_kropp,2025-11-03 01:38:32.600942139,25,52.4,3.636
sn50v3_kropp,2025-11-03 01:58:32.389631365,24.9,52.4,3.636
sn50v3_kropp,2025-11-03 02:18:32.156244367,24.9,52.5,3.636
sn50v3_kropp,2025-11-03 02:38:31.941148987,25,52.5,3.636
sn50v3_kropp,2025-11-03 02:58:31.715226338,25,52.5,3.642
sn50v3_kropp,2025-11-03 03:18:31.486183021,25,52.6,3.636
sn50v3_kropp,2025-11-03 03:38:31.260220358,25,52.6,3.636
sn50v3_kropp,2025-11-03 03:58:31.043361068,25,52.6,3.636
sn50v3_kropp,2025-11-03 04:18:30.819200546,25,52.6,3.636
sn50v3_kropp,2025-11-03 04:38:30.605537219,25,52.6,3.636
sn50v3_kropp,2025-11-03 04:58:30.372143369,25,52.7,3.636
sn50v3_kropp,2025-11-03 05:18:30.149042229,25,52.7,3.636
sn50v3_kropp,2025-11-03 05:38:29.929004247,25,52.7,3.636
sn50v3_kropp,2025-11-03 05:58:29.697624765,25,52.8,3.636
sn50v3_kropp,2025-11-03 06:18:29.481844916,25,52.8,3.636
sn50v3_kropp,2025-11-03 06:38:29.25516526,25,52.8,3.636
sn50v3_kropp,2025-11-03 06:58:29.034910179,25,52.6,3.636
sn50v3_kropp,2025-11-03 07:18:28.823401943,24.8,50.1,3.636
sn50v3_kropp,2025-11-03 07:38:28.595350865,24.5,47.1,3.636
sn50v3_kropp,2025-11-03 07:58:28.43788839,24.2,46.8,3.642
sn50v3_kropp,2025-11-03 08:18:28.136659515,24.1,46.3,3.636
sn50v3_kropp,2025-11-03 08:38:27.910623922,24,45.7,3.636
sn50v3_kropp,2025-11-03 08:58:27.695514204,23.8,44.9,3.636
sn50v3_kropp,2025-11-03 09:18:27.493490934,23.7,44.6,3.636
sn50v3_kropp,2025-11-03 09:38:27.245055996,23.6,44.5,3.636
sn50v3_kropp,2025-11-03 09:58:27.02117112,23.6,44.9,3.636
sn50v3_kropp,2025-11-03 10:18:26.797804987,23.8,45.3,3.636
